customer_id,age,gender,country,monthly_visits,amount_spent,joined_year
1,51,Male,South Africa,6,17.29,2016
2,64,Male,UK,5,22.02,2016
3,41,Female,Kenya,3,30.64,2018
4,27,Male,South Africa,2,56.95,2020
5,55,Female,Kenya,7,30.75,2016
6,20,Other,USA,5,45.11,2020
7,33,Other,USA,4,45.29,2015
8,51,Male,USA,6,23.36,2022
9,31,Female,Nigeria,5,135.88,2017
10,35,Female,Kenya,4,156.01,2022
11,23,Other,Nigeria,7,43.6,2017
12,23,Other,South Africa,4,3.72,2015
13,36,Female,Nigeria,2,33.78,2018
14,65,Male,South Africa,3,10.19,2017
15,48,Other,South Africa,8,33.01,2022
16,52,Male,South Africa,5,10.44,2015
17,36,Male,UK,6,60.85,2023
18,15,Other,Nigeria,2,4.19,2023
19,34,Male,UK,3,153.2,2020
20,65,Male,Kenya,3,10.87,2019
21,14,Female,Nigeria,7,54.04,2019
22,36,Male,Kenya,5,124.42,2020
23,56,Female,Kenya,2,14.24,2021
24,42,Other,South Africa,2,136.13,2022
25,50,Other,Nigeria,7,24.61,2017
26,14,Female,Kenya,8,161.61,2024
27,33,Other,USA,4,177.65,2015
28,45,Male,Kenya,4,10.42,2019
29,24,Male,USA,4,88.92,2015
30,34,Male,Nigeria,3,10.75,2016
31,56,Other,UK,4,12.84,2022
32,37,Male,Nigeria,6,4.39,2017
33,61,Other,UK,5,8.51,2024
34,39,Male,UK,5,50.01,2018
35,54,Female,Nigeria,3,29.82,2020
36,40,Other,Kenya,6,78.26,2022
37,28,Other,Ghana,4,20.17,2015
38,27,Male,Kenya,2,173.09,2016
39,59,Other,Kenya,5,2.56,2020
40,63,Other,South Africa,7,3.25,2022
41,56,Female,South Africa,8,60.43,2022
42,67,Female,Kenya,0,109.26,2017
43,64,Male,USA,5,79.36,2018
44,69,Female,UK,4,33.65,2024
45,15,Male,South Africa,6,15.71,2018
46,49,Male,Kenya,4,0.68,2018
47,63,Male,Ghana,7,35.61,2016
48,19,Other,USA,2,32.28,2020
49,33,Female,Nigeria,3,21.1,2022
50,21,Male,Kenya,3,43.15,2023
51,51,Female,Kenya,5,65.25,2015
52,30,Male,UK,6,60.35,2015
53,16,Female,USA,9,15.28,2023
54,37,Female,South Africa,6,44.01,2018
55,26,Male,South Africa,7,8.05,2021
56,62,Other,South Africa,2,6.48,2016
57,21,Female,Nigeria,2,77.06,2024
58,38,Other,USA,8,59.17,2015
59,65,Other,USA,8,73.04,2021
60,14,Male,South Africa,8,8.27,2020
61,32,Male,South Africa,7,123.03,2017
62,40,Male,UK,6,7.14,2024
63,59,Female,Ghana,2,102.03,2018
64,19,Male,Ghana,7,21.72,2015
65,56,Male,Kenya,6,5.57,2021
66,20,Female,Kenya,5,16.9,2023
67,59,Female,USA,6,10.01,2015
68,47,Male,USA,4,33.73,2016
69,26,Male,Nigeria,4,149.53,2016
70,29,Male,Nigeria,4,19.87,2020
71,48,Male,Ghana,5,47.35,2019
72,62,Other,Kenya,4,111.15,2020
73,52,Other,Ghana,7,49.72,2015
74,16,Male,Ghana,2,22.49,2020
75,14,Other,Kenya,4,234.64,2020
76,18,Female,Nigeria,1,10.38,2021
77,66,Other,UK,6,37.04,2016
78,54,Other,UK,1,79.65,2020
79,16,Male,UK,6,0.03,2023
80,66,Other,Kenya,6,60.54,2023
81,41,Other,South Africa,0,15.5,2016
82,30,Other,South Africa,6,9.3,2019
83,38,Other,South Africa,1,16.02,2021
84,56,Female,USA,4,170.29,2019
85,46,Male,Nigeria,6,111.25,2017
86,22,Male,Nigeria,7,12.02,2015
87,48,Female,USA,6,6.22,2021
88,26,Other,Ghana,3,22.64,2022
89,43,Female,UK,7,44.87,2020
90,60,Other,South Africa,6,100.92,2021
91,27,Female,UK,5,169.2,2023
92,20,Male,South Africa,7,69.55,2016
93,26,Male,UK,4,45.69,2019
94,35,Male,Ghana,7,7.68,2017
95,69,Other,UK,1,3.85,2016
96,52,Other,UK,2,45.32,2017
97,33,Female,Kenya,2,38.72,2018
98,28,Female,UK,6,93.57,2016
99,57,Male,Kenya,8,19.48,2016
100,30,Other,Nigeria,6,2.03,2022
101,59,Female,USA,0,27.56,2017
102,65,Other,UK,10,173.98,2017
103,36,Other,Nigeria,2,79.38,2018
104,38,Male,Kenya,5,1.72,2019
105,37,Male,UK,8,103.84,2017
106,57,Other,UK,5,31.9,2020
107,53,Other,Ghana,4,22.69,2024
108,41,Other,Nigeria,3,21.29,2017
109,27,Other,South Africa,7,45.21,2022
110,57,Male,South Africa,7,37.81,2018
111,13,Female,Ghana,3,53.45,2019
112,37,Male,Kenya,3,42.62,2017
113,19,Female,South Africa,2,7.77,2019
114,21,Other,South Africa,2,14.87,2021
115,36,Female,USA,7,91.95,2017
116,13,Male,Nigeria,4,54.42,2017
117,56,Male,Kenya,1,29.75,2015
118,20,Other,UK,3,10.08,2016
119,36,Male,Nigeria,10,0.39,2018
120,23,Other,Kenya,3,18.69,2023
121,63,Male,South Africa,6,2.82,2017
122,29,Male,USA,4,32.92,2024
123,20,Other,Nigeria,5,86.24,2019
124,47,Female,South Africa,3,16.8,2023
125,47,Male,Kenya,7,94.11,2018
126,45,Female,Nigeria,5,60.97,2018
127,17,Male,UK,2,6.69,2020
128,54,Male,Nigeria,6,51.72,2021
129,51,Male,South Africa,3,8.22,2020
130,53,Male,Nigeria,2,53.18,2018
131,40,Female,UK,7,7.7,2021
132,19,Female,USA,6,24.92,2024
133,21,Male,USA,3,41.8,2017
134,20,Male,South Africa,5,2.58,2017
135,24,Female,Kenya,7,8.32,2021
136,46,Other,South Africa,4,19.31,2020
137,45,Other,USA,4,31.02,2016
138,60,Female,Ghana,3,97.77,2015
139,67,Male,Ghana,6,10.37,2020
140,35,Male,Nigeria,4,21.34,2023
141,36,Other,UK,5,32.29,2017
142,49,Other,Nigeria,7,17.53,2023
143,47,Female,Ghana,4,49.14,2020
144,56,Other,USA,3,14.83,2018
145,52,Female,Nigeria,1,74.0,2024
146,34,Other,South Africa,5,35.18,2024
147,39,Other,UK,8,4.51,2024
148,47,Other,South Africa,5,49.31,2016
149,13,Male,UK,5,42.11,2023
150,47,Male,USA,3,20.67,2019
151,49,Male,Nigeria,3,0.56,2019
152,59,Other,UK,6,11.2,2016
153,26,Female,South Africa,5,26.02,2019
154,15,Female,Nigeria,7,11.15,2020
155,13,Female,Nigeria,6,43.08,2016
156,17,Female,South Africa,8,62.3,2015
157,38,Male,Ghana,8,96.9,2020
158,67,Male,UK,8,52.06,2023
159,26,Other,South Africa,9,58.4,2023
160,51,Other,USA,5,46.88,2023
161,39,Female,Kenya,3,211.63,2019
162,21,Male,South Africa,4,15.12,2024
163,27,Female,Nigeria,5,15.48,2015
164,27,Other,Nigeria,6,6.75,2017
165,38,Other,South Africa,7,33.25,2022
166,54,Female,Kenya,4,5.06,2023
167,25,Other,South Africa,6,15.75,2018
168,63,Female,Kenya,13,32.95,2017
169,44,Male,Kenya,3,158.03,2016
170,51,Female,USA,7,165.95,2019
171,61,Male,UK,7,68.08,2016
172,64,Male,Nigeria,2,24.65,2023
173,44,Other,Nigeria,5,100.18,2024
174,16,Other,Kenya,2,104.15,2023
175,42,Other,Nigeria,4,120.51,2017
176,49,Female,Ghana,3,51.09,2018
177,35,Female,Kenya,3,11.27,2023
178,51,Other,Nigeria,1,4.77,2015
179,57,Female,Ghana,7,123.12,2021
180,27,Other,USA,4,2.86,2016
181,55,Female,Nigeria,9,17.54,2023
182,41,Male,Ghana,4,33.37,2017
183,48,Male,South Africa,6,1.11,2020
184,25,Other,UK,3,118.71,2019
185,44,Female,South Africa,8,16.92,2016
186,19,Female,Ghana,6,1.45,2023
187,63,Male,Kenya,5,252.49,2017
188,34,Male,Kenya,3,18.65,2020
189,40,Other,Nigeria,11,104.68,2023
190,14,Male,South Africa,7,30.21,2022
191,54,Other,Kenya,6,54.4,2024
192,57,Male,Kenya,6,13.79,2019
193,69,Male,South Africa,6,34.95,2020
194,65,Female,USA,6,14.9,2017
195,18,Male,Kenya,5,150.88,2019
196,40,Male,UK,8,3.14,2020
197,40,Other,Ghana,6,16.06,2017
198,56,Male,Nigeria,8,111.8,2024
199,56,Other,Kenya,13,32.7,2016
200,32,Male,UK,4,45.83,2024
201,42,Male,UK,1,52.73,2023
202,23,Other,Kenya,4,3.68,2021
203,67,Female,USA,2,0.89,2018
204,40,Other,Ghana,7,138.9,2017
205,37,Other,Nigeria,4,15.84,2018
206,51,Other,Kenya,5,23.93,2023
207,45,Female,Nigeria,8,57.3,2023
208,13,Male,South Africa,6,13.48,2020
209,69,Other,UK,5,66.04,2023
210,39,Other,UK,2,30.65,2023
211,69,Female,Kenya,6,97.11,2020
212,64,Other,Kenya,5,16.32,2019
213,25,Male,South Africa,6,11.4,2017
214,53,Female,USA,3,89.1,2015
215,15,Male,Kenya,6,19.75,2018
216,51,Male,UK,6,26.54,2015
217,18,Female,Nigeria,4,78.92,2015
218,20,Other,Ghana,7,50.47,2020
219,39,Male,Nigeria,4,29.15,2019
220,21,Male,USA,0,14.38,2021
221,49,Male,Ghana,9,72.24,2015
222,45,Male,Nigeria,1,9.95,2015
223,63,Female,Nigeria,6,131.75,2022
224,54,Female,South Africa,4,8.14,2020
225,56,Male,USA,5,81.72,2022
226,36,Other,UK,6,27.6,2020
227,27,Male,South Africa,8,10.29,2020
228,66,Other,Ghana,4,25.74,2024
229,44,Male,UK,5,12.52,2021
